etu_id,nom,prenom,email,date_naissance,telephone,adresse,statut,date_inscription,id_filiere,id_niveau,nom_filiere,code_filiere,nom_niveau,annee_universitaire,id_matiere,session,ann_univ,valeur_note,date_evaluation,commentaire,code_matiere,libelle_matiere,coefficient,semestre
ETU_4,Benali,Karim,karim.benali@etud.universite.edu,2003-01-18,0612345604,"23 rue Ibn Battouta, Casablanca",Actif,2026-05-30,4,2,"Cybersécurité et Réseaux",CYB,"Licence 2",2025-2026,10,Normale,2025-2026,16.75,2026-05-30,"Bonne analyse des vulnérabilités",INFO203,"Sécurité Informatique",2.50,S1
ETU_5,Fontaine,Emma,emma.fontaine@etud.universite.edu,2002-06-30,0612345605,"5 allée des Roses, Bordeaux",Actif,2026-05-30,1,2,"Génie Logiciel",GL,"Licence 2",2025-2026,1,Normale,2025-2026,15.50,2026-05-30,"Bon algorithme de tri rapide",INFO101,"Algorithmique et Structures de Données",3.00,S1
ETU_5,Fontaine,Emma,emma.fontaine@etud.universite.edu,2002-06-30,0612345605,"5 allée des Roses, Bordeaux",Actif,2026-05-30,1,2,"Génie Logiciel",GL,"Licence 2",2025-2026,6,Normale,2025-2026,14.00,2026-05-30,"CSS maîtrisé, JS à améliorer",INFO106,"Développement Web (HTML/CSS/JS)",2.00,S2
ETU_6,Diallo,Fatou,fatou.diallo@etud.universite.edu,2001-09-12,0612345606,"67 rue de la Liberté, Conakry",Actif,2026-05-30,5,1,"Mathématiques Appliquées",MA,"Licence 1",2025-2026,16,Normale,2025-2026,13.50,2026-05-30,"Série de Taylor correcte",MATH101,"Analyse Mathématique I",3.00,S1
ETU_6,Diallo,Fatou,fatou.diallo@etud.universite.edu,2001-09-12,0612345606,"67 rue de la Liberté, Conakry",Actif,2026-05-30,5,1,"Mathématiques Appliquées",MA,"Licence 1",2025-2026,17,Normale,2025-2026,11.00,2026-05-30,"Déterminants à revoir",MATH102,"Algèbre Linéaire",3.00,S2
ETU_7,Girard,Pierre-Louis,pierrelouis.girard@etud.universite.edu,2000-04-25,0612345607,"14 impasse des Lilas, Marseille",Actif,2026-05-30,6,4,"Statistiques et Probabilités",STAT,"Master 1",2025-2026,18,Normale,2025-2026,17.00,2026-05-30,"Excellent calcul de probabilités",MATH103,"Probabilités et Statistiques",3.00,S1
ETU_7,Girard,Pierre-Louis,pierrelouis.girard@etud.universite.edu,2000-04-25,0612345607,"14 impasse des Lilas, Marseille",Actif,2026-05-30,6,4,"Statistiques et Probabilités",STAT,"Master 1",2025-2026,22,Normale,2025-2026,16.50,2026-05-30,"Tests d'hypothèses bien maîtrisés",MATH202,"Statistiques Inférentielles",2.50,S1
ETU_8,Mbaye,Ndèye,ndeye.mbaye@etud.universite.edu,2003-08-14,0612345608,"31 avenue Cheikh Anta Diop, Dakar",Actif,2026-05-30,7,1,"Physique Fondamentale",PF,"Licence 1",2025-2026,25,Normale,2025-2026,10.00,2026-05-30,"Lois de Newton partiellement acquises",PHYS101,"Mécanique Classique",3.00,S1
ETU_8,Mbaye,Ndèye,ndeye.mbaye@etud.universite.edu,2003-08-14,0612345608,"31 avenue Cheikh Anta Diop, Dakar",Actif,2026-05-30,7,1,"Physique Fondamentale",PF,"Licence 1",2025-2026,26,Normale,2025-2026,14.25,2026-05-30,"Loi de Gauss maîtrisée",PHYS102,Électromagnétisme,3.00,S2
ETU_8,Mbaye,Ndèye,ndeye.mbaye@etud.universite.edu,2003-08-14,0612345608,"31 avenue Cheikh Anta Diop, Dakar",Actif,2026-05-30,7,1,"Physique Fondamentale",PF,"Licence 1",2025-2026,25,Rattrapage,2025-2026,12.50,2026-05-30,"Amélioration constatée",PHYS101,"Mécanique Classique",3.00,S1
ETU_9,Lefevre,Thomas,thomas.lefevre@etud.universite.edu,2001-02-28,0612345609,"9 rue Gambetta, Toulouse",Actif,2026-05-30,8,3,"Électronique et Instrumentation",ELEC,"Licence 3",2025-2026,27,Normale,2025-2026,15.75,2026-05-30,"Premier principe bien appliqué",PHYS103,Thermodynamique,2.50,S1
ETU_9,Lefevre,Thomas,thomas.lefevre@etud.universite.edu,2001-02-28,0612345609,"9 rue Gambetta, Toulouse",Actif,2026-05-30,8,3,"Électronique et Instrumentation",ELEC,"Licence 3",2025-2026,28,Normale,2025-2026,13.00,2026-05-30,"Interférences comprises",PHYS104,"Optique Physique",2.00,S2
ETU_10,Coulibaly,Mariam,mariam.coulibaly@etud.universite.edu,2002-12-01,0612345610,"18 rue Kwame Nkrumah, Bamako",Actif,2026-05-30,9,2,"Chimie Industrielle",CI,"Licence 2",2025-2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ETU_11,Rousseau,Anaïs,anais.rousseau@etud.universite.edu,2001-05-17,0612345611,"7 place de la Mairie, Nantes",Actif,2026-05-30,10,4,"Biochimie Structurale",BIOC,"Master 1",2025-2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ETU_12,Sow,Ibrahima,ibrahima.sow@etud.universite.edu,2000-10-08,0612345612,"25 avenue Kennedy, Thiès",Actif,2026-05-30,11,1,Biotechnologie,BIOT,"Licence 1",2025-2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ETU_13,Chevalier,Marie,marie.chevalier@etud.universite.edu,2003-03-22,0612345613,"3 rue du Château, Rennes",Actif,2026-05-30,12,2,"Microbiologie Médicale",MIC,"Licence 2",2025-2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ETU_14,Diarra,Oumar,oumar.diarra@etud.universite.edu,2002-07-11,0612345614,"52 boulevard de l'Indépendance, Bamako",Actif,2026-05-30,13,3,"Management des Organisations",MGT,"Licence 3",2025-2026,40,Normale,2025-2026,14.00,2026-05-30,"Fonctions du management bien acquises",MGT101,"Introduction au Management",2.00,S1
ETU_14,Diarra,Oumar,oumar.diarra@etud.universite.edu,2002-07-11,0612345614,"52 boulevard de l'Indépendance, Bamako",Actif,2026-05-30,13,3,"Management des Organisations",MGT,"Licence 3",2025-2026,43,Normale,2025-2026,12.50,2026-05-30,"Recrutement et formation analysés",MGT104,"Gestion des Ressources Humaines",2.50,S2
ETU_15,Laurent,Julien,julien.laurent@etud.universite.edu,2001-11-30,0612345615,"11 rue de la Paix, Paris",Actif,2026-05-30,14,2,"Finance et Comptabilité",FIN,"Licence 2",2025-2026,41,Normale,2025-2026,16.00,2026-05-30,"Bilan comptable sans erreur",MGT102,"Comptabilité Générale",3.00,S2
ETU_15,Laurent,Julien,julien.laurent@etud.universite.edu,2001-11-30,0612345615,"11 rue de la Paix, Paris",Actif,2026-05-30,14,2,"Finance et Comptabilité",FIN,"Licence 2",2025-2026,44,Normale,2025-2026,15.00,2026-05-30,"Calcul VAN maîtrisé",MGT201,"Finance d'Entreprise",3.00,S1
ETU_16,Ndiaye,Rokhaya,rokhaya.ndiaye@etud.universite.edu,2000-08-19,0612345616,"6 avenue Léopold Sédar Senghor, Dakar",Actif,2026-05-30,15,4,"Commerce International",CI2,"Master 1",2025-2026,47,Normale,2025-2026,9.50,2026-05-30,"Courbes offre/demande à revoir",ECO101,Microéconomie,3.00,S1
ETU_16,Ndiaye,Rokhaya,rokhaya.ndiaye@etud.universite.edu,2000-08-19,0612345616,"6 avenue Léopold Sédar Senghor, Dakar",Actif,2026-05-30,15,4,"Commerce International",CI2,"Master 1",2025-2026,47,Rattrapage,2025-2026,11.50,2026-05-30,"Légère amélioration",ECO101,Microéconomie,3.00,S1
ETU_17,Wagner,Léa,lea.wagner@etud.universite.edu,2003-04-05,0612345617,"29 rue des Peupliers, Strasbourg",Actif,2026-05-30,16,2,"Analyse Économique",AE,"Licence 2",2025-2026,50,Normale,2025-2026,13.75,2026-05-30,"MCO bien appliqué",ECO104,Économétrie,2.50,S2
ETU_18,Diakité,Adama,adama.diakite@etud.universite.edu,2002-09-23,0612345618,"44 rue de la République, Abidjan",Actif,2026-05-30,17,1,"Droit Public",DP,"Licence 1",2025-2026,51,Normale,2025-2026,15.25,2026-05-30,"Bonne maîtrise des sources du droit",DRT101,"Introduction au Droit",2.50,S1
ETU_18,Diakité,Adama,adama.diakite@etud.universite.edu,2002-09-23,0612345618,"44 rue de la République, Abidjan",Actif,2026-05-30,17,1,"Droit Public",DP,"Licence 1",2025-2026,52,Normale,2025-2026,14.00,2026-05-30,"Obligations contractuelles bien traitées",DRT102,"Droit Civil",3.00,S2
ETU_19,Petit,Camille,camille.petit@etud.universite.edu,2001-01-15,0612345619,"17 avenue Jean Jaurès, Grenoble",Actif,2026-05-30,18,5,"Droit Privé",DPR,"Master 2",2025-2026,53,Normale,2025-2026,17.00,2026-05-30,"Constitution analysée avec précision",DRT103,"Droit Constitutionnel",2.50,S1
ETU_19,Petit,Camille,camille.petit@etud.universite.edu,2001-01-15,0612345619,"17 avenue Jean Jaurès, Grenoble",Actif,2026-05-30,18,5,"Droit Privé",DPR,"Master 2",2025-2026,54,Normale,2025-2026,16.50,2026-05-30,"Recours administratifs bien expliqués",DRT104,"Droit Administratif",2.50,S2
ETU_20,Baldé,Mamadou,mamadou.balde@etud.universite.edu,2000-06-27,0612345620,"8 rue du Commerce, Conakry",Actif,2026-05-30,19,1,"Génie Civil et Construction",GCC,"Licence 1",2025-2026,56,Normale,2025-2026,11.00,2026-05-30,"Moments fléchissants à retravailler",GCI101,"Résistance des Matériaux",3.00,S1
ETU_20,Baldé,Mamadou,mamadou.balde@etud.universite.edu,2000-06-27,0612345620,"8 rue du Commerce, Conakry",Actif,2026-05-30,19,1,"Génie Civil et Construction",GCC,"Licence 1",2025-2026,57,Normale,2025-2026,12.75,2026-05-30,"Équation de Bernoulli bien utilisée",GCI102,"Mécanique des Fluides",2.50,S2
ETU_20,Baldé,Mamadou,mamadou.balde@etud.universite.edu,2000-06-27,0612345620,"8 rue du Commerce, Conakry",Actif,2026-05-30,19,1,"Génie Civil et Construction",GCC,"Licence 1",2025-2026,56,Rattrapage,2025-2026,13.00,2026-05-30,"Bonne reprise",GCI101,"Résistance des Matériaux",3.00,S1
ETU_21,Garnier,Lucas,lucas.garnier@etud.universite.edu,2003-02-14,0612345621,"35 allée des Platanes, Montpellier",Actif,2026-05-30,20,2,"Réseaux et Télécommunications",RT,"Licence 2",2025-2026,60,Normale,2025-2026,14.50,2026-05-30,"Transformée de Fourier maîtrisée",TEL101,"Signaux et Systèmes",3.00,S1
ETU_21,Garnier,Lucas,lucas.garnier@etud.universite.edu,2003-02-14,0612345621,"35 allée des Platanes, Montpellier",Actif,2026-05-30,20,2,"Réseaux et Télécommunications",RT,"Licence 2",2025-2026,63,Normale,2025-2026,13.00,2026-05-30,"Couche transport bien comprise",TEL104,"Protocoles Réseaux (TCP/IP)",2.50,S2
ETU_22,Touré,Djeneba,djeneba.toure@etud.universite.edu,2002-08-09,0612345622,"13 rue Modibo Kéïta, Bamako",Actif,2026-05-30,3,2,"Intelligence Artificielle",IA,"Licence 2",2025-2026,11,Normale,2025-2026,16.25,2026-05-30,"Excellent projet de reconnaissance d'images",INFO204,"Intelligence Artificielle",3.00,S2
ETU_23,Perrin,Clément,clement.perrin@etud.universite.edu,2001-12-03,0612345623,"20 rue Saint-Nicolas, Lille",Actif,2026-05-30,6,4,"Statistiques et Probabilités",STAT,"Master 1",2025-2026,18,Normale,2025-2026,15.00,2026-05-30,"Loi normale bien manipulée",MATH103,"Probabilités et Statistiques",3.00,S1
ETU_24,Koné,Drissa,drissa.kone@etud.universite.edu,2003-05-28,0612345624,"39 boulevard Thomas Sankara, Ouagadougou",Actif,2026-05-30,1,4,"Génie Logiciel",GL,"Master 1",2025-2026,1,Normale,2025-2026,19.00,2026-05-30,"Algorithme de Dijkstra parfait",INFO101,"Algorithmique et Structures de Données",3.00,S1
ETU_24,Koné,Drissa,drissa.kone@etud.universite.edu,2003-05-28,0612345624,"39 boulevard Thomas Sankara, Ouagadougou",Actif,2026-05-30,1,4,"Génie Logiciel",GL,"Master 1",2025-2026,3,Normale,2025-2026,18.50,2026-05-30,"Modélisation conceptuelle impeccable",INFO103,"Bases de Données Relationnelles",2.50,S1
ETU_25,Martin,Sophie,sophie.martin@etud.universite.edu,2000-09-16,0612345625,"2 rue des Magnolias, Nice",Actif,2026-05-30,7,4,"Physique Fondamentale",PF,"Master 1",2025-2026,25,Normale,2025-2026,8.00,2026-05-30,"Cinématique à retravailler",PHYS101,"Mécanique Classique",3.00,S1
ETU_25,Martin,Sophie,sophie.martin@etud.universite.edu,2000-09-16,0612345625,"2 rue des Magnolias, Nice",Actif,2026-05-30,7,4,"Physique Fondamentale",PF,"Master 1",2025-2026,25,Rattrapage,2025-2026,10.50,2026-05-30,"Effort remarqué",PHYS101,"Mécanique Classique",3.00,S1
ETU_26,Cissé,Alioune,alioune.cisse@etud.universite.edu,2002-03-04,0612345626,"48 avenue de la Gare, Thiès",Actif,2026-05-30,2,2,"Data Science et Big Data",DSB,"Licence 2",2025-2026,13,Normale,2025-2026,16.00,2026-05-30,"Spark bien maîtrisé",INFO206,"Big Data et NoSQL",2.50,S2
ETU_27,Moreau,Isabelle,isabelle.moreau@etud.universite.edu,2001-07-19,0612345627,"16 rue des Boulangers, Bordeaux",Actif,2026-05-30,13,1,"Management des Organisations",MGT,"Licence 1",2025-2026,40,Normale,2025-2026,13.50,2026-05-30,"Conception organisationnelle correcte",MGT101,"Introduction au Management",2.00,S1
ETU_28,Sarr,Binta,binta.sarr@etud.universite.edu,2003-11-07,0612345628,"5 rue Blaise Diagne, Dakar",Actif,2026-05-30,13,3,"Management des Organisations",MGT,"Licence 3",2025-2026,42,Normale,2025-2026,14.00,2026-05-30,"Segmentation bien réalisée",MGT103,"Marketing Fondamental",2.50,S1
ETU_29,Hubert,Marc,marc.hubert@etud.universite.edu,2000-04-13,0612345629,"27 avenue des Martyrs, Nantes",Actif,2026-05-30,15,3,"Commerce International",CI2,"Licence 3",2025-2026,49,Normale,2025-2026,15.50,2026-05-30,"Balance des paiements maîtrisée",ECO103,"Économie Internationale",2.50,S1
ETU_30,Sanogo,Youssouf,youssouf.sanogo@etud.universite.edu,2002-08-25,0612345630,"61 rue de la Fraternité, Bouaké",Actif,2026-05-30,14,5,"Finance et Comptabilité",FIN,"Master 2",2025-2026,44,Normale,2025-2026,17.25,2026-05-30,"Excellent calcul de rentabilité",MGT201,"Finance d'Entreprise",3.00,S1
ETU_31,Dubois,Antoinette,antoinette.dubois@etud.universite.edu,2001-01-31,0612345631,"4 impasse du Moulin, Toulouse",Actif,2026-05-30,16,2,"Analyse Économique",AE,"Licence 2",2025-2026,47,Normale,2025-2026,12.00,2026-05-30,"Élasticité bien traitée",ECO101,Microéconomie,3.00,S1
ETU_32,Ba,Aïssatou,aissatou.ba@etud.universite.edu,2000-05-20,0612345632,"19 avenue Président Bourguiba, Kaolack",Actif,2026-05-30,7,3,"Physique Fondamentale",PF,"Licence 3",2025-2026,25,Normale,2025-2026,14.75,2026-05-30,"Travail de dynamique bien fait",PHYS101,"Mécanique Classique",3.00,S1
ETU_33,Leroy,Simon,simon.leroy@etud.universite.edu,2003-09-08,0612345633,"33 rue de la Fontaine, Strasbourg",Actif,2026-05-30,7,1,"Physique Fondamentale",PF,"Licence 1",2025-2026,16,Normale,2025-2026,10.50,2026-05-30,"Suites à retravailler",MATH101,"Analyse Mathématique I",3.00,S1
ETU_33,Leroy,Simon,simon.leroy@etud.universite.edu,2003-09-08,0612345633,"33 rue de la Fontaine, Strasbourg",Actif,2026-05-30,7,1,"Physique Fondamentale",PF,"Licence 1",2025-2026,16,Rattrapage,2025-2026,13.00,2026-05-30,"Bonne progression",MATH101,"Analyse Mathématique I",3.00,S1
ETU_34,Dembélé,Lassina,lassina.dembele@etud.universite.edu,2002-03-15,0612345634,"72 avenue de l'Unité, Sikasso",Actif,2026-05-30,19,5,"Génie Civil et Construction",GCC,"Master 2",2025-2026,56,Normale,2025-2026,18.00,2026-05-30,"Excellent calcul de structures",GCI101,"Résistance des Matériaux",3.00,S1
ETU_35,Petit,Alexandre,alexandre.petit@etud.universite.edu,2001-10-24,0612345635,"9 rue Condorcet, Lyon",Actif,2026-05-30,2,3,"Data Science et Big Data",DSB,"Licence 3",2025-2026,13,Normale,2025-2026,17.50,2026-05-30,"MongoDB bien maîtrisé",INFO206,"Big Data et NoSQL",2.50,S2
ETU_36,Gueye,Fatimata,fatimata.gueye@etud.universite.edu,2000-08-04,0612345636,"14 rue Mermoz, Dakar",Actif,2026-05-30,2,1,"Data Science et Big Data",DSB,"Licence 1",2025-2026,1,Normale,2025-2026,11.50,2026-05-30,"Récursivité partiellement acquise",INFO101,"Algorithmique et Structures de Données",3.00,S1
ETU_37,Bernard,Danielle,danielle.bernard@etud.universite.edu,2003-02-17,0612345637,"22 avenue de la Victoire, Bordeaux",Actif,2026-05-30,19,4,"Génie Civil et Construction",GCC,"Master 1",2025-2026,59,Normale,2025-2026,15.00,2026-05-30,"Ferraillage correct",GCI104,"Béton Armé et Structures",3.00,S2
ETU_38,Fofana,Samba,samba.fofana@etud.universite.edu,2002-06-12,0612345638,"37 rue des Mineurs, Conakry",Actif,2026-05-30,17,5,"Droit Public",DP,"Master 2",2025-2026,53,Normale,2025-2026,16.75,2026-05-30,"Principes constitutionnels bien maîtrisés",DRT103,"Droit Constitutionnel",2.50,S1
ETU_39,Lecomte,Jeannine,jeannine.lecomte@etud.universite.edu,2001-10-20,0612345639,"11 allée des Chênes, Nantes",Actif,2026-05-30,6,1,"Statistiques et Probabilités",STAT,"Licence 1",2025-2026,22,Normale,2025-2026,14.25,2026-05-30,"Intervalle de confiance bien calculé",MATH202,"Statistiques Inférentielles",2.50,S1
ETU_40,Coulibaly,Berkissa,berkissa.coulibaly@etud.universite.edu,2003-09-21,0612345640,"83 avenue de la Mosquée, Abidjan",Actif,2026-05-30,17,1,"Droit Public",DP,"Licence 1",2025-2026,51,Normale,2025-2026,13.00,2026-05-30,"Sources du droit bien identifiées",DRT101,"Introduction au Droit",2.50,S1
ETU_41,Lefebvre,Laurent,laurent.lefebvre@etud.universite.edu,2001-09-28,0612345641,"6 rue des Rossignols, Montpellier",Actif,2026-05-30,6,1,"Statistiques et Probabilités",STAT,"Licence 1",2025-2026,18,Normale,2025-2026,15.75,2026-05-30,"Loi de Poisson bien appliquée",MATH103,"Probabilités et Statistiques",3.00,S1
ETU_42,Diop,Suzanne,suzanne.diop@etud.universite.edu,2002-07-27,0612345642,"28 avenue Cheikh Anta, Dakar",Actif,2026-05-30,20,1,"Réseaux et Télécommunications",RT,"Licence 1",2025-2026,60,Normale,2025-2026,16.00,2026-05-30,"FFT bien maîtrisée",TEL101,"Signaux et Systèmes",3.00,S1
ETU_43,Morel,Daniel,daniel.morel@etud.universite.edu,2001-01-10,0612345643,"51 boulevard des Nations, Paris",Actif,2026-05-30,8,4,"Électronique et Instrumentation",ELEC,"Master 1",2025-2026,26,Normale,2025-2026,12.50,2026-05-30,"Loi de Faraday appliquée",PHYS102,Électromagnétisme,3.00,S2
ETU_44,Camara,Michelle,michelle.camara@etud.universite.edu,2002-07-09,0612345644,"16 rue de la Solidarité, Conakry",Actif,2026-05-30,4,5,"Cybersécurité et Réseaux",CYB,"Master 2",2025-2026,10,Normale,2025-2026,18.25,2026-05-30,"Analyse de vulnérabilité réseau excellente",INFO203,"Sécurité Informatique",2.50,S1
ETU_45,Picard,Anne-Sophie,annesophie.picard@etud.universite.edu,2001-06-10,0612345645,"3 avenue des Lilas, Marseille",Actif,2026-05-30,8,5,"Électronique et Instrumentation",ELEC,"Master 2",2025-2026,26,Normale,2025-2026,9.50,2026-05-30,"Champ magnétique à retravailler",PHYS102,Électromagnétisme,3.00,S2
ETU_45,Picard,Anne-Sophie,annesophie.picard@etud.universite.edu,2001-06-10,0612345645,"3 avenue des Lilas, Marseille",Actif,2026-05-30,8,5,"Électronique et Instrumentation",ELEC,"Master 2",2025-2026,26,Rattrapage,2025-2026,11.00,2026-05-30,"Amélioration constatée",PHYS102,Électromagnétisme,3.00,S2
ETU_46,Sylla,Mariama,mariama.sylla@etud.universite.edu,2002-11-10,0612345646,"44 rue 22 Mars, Conakry",Actif,2026-05-30,20,1,"Réseaux et Télécommunications",RT,"Licence 1",2025-2026,60,Normale,2025-2026,17.00,2026-05-30,"Filtres numériques bien conçus",TEL101,"Signaux et Systèmes",3.00,S1
ETU_47,Mercier,Thibaut,thibaut.mercier@etud.universite.edu,2001-04-26,0612345647,"8 rue Pasteur, Rennes",Actif,2026-05-30,20,1,"Réseaux et Télécommunications",RT,"Licence 1",2025-2026,60,Normale,2025-2026,14.50,2026-05-30,"Bonne analyse spectrale",TEL101,"Signaux et Systèmes",3.00,S1
ETU_48,Kouyaté,Modibo,modibo.kouyate@etud.universite.edu,2001-09-21,0612345648,"57 avenue de la Jeunesse, Bamako",Actif,2026-05-30,14,5,"Finance et Comptabilité",FIN,"Master 2",2025-2026,44,Normale,2025-2026,15.25,2026-05-30,"Calcul de WACC exact",MGT201,"Finance d'Entreprise",3.00,S1
ETU_49,Perrot,Chantal,chantal.perrot@etud.universite.edu,2002-12-04,0612345649,"13 impasse du Tilleul, Grenoble",Actif,2026-05-30,19,5,"Génie Civil et Construction",GCC,"Master 2",2025-2026,59,Normale,2025-2026,13.50,2026-05-30,"Calcul des armatures correct",GCI104,"Béton Armé et Structures",3.00,S2
ETU_50,Keita,Maïmouna,maimouna.keita@etud.universite.edu,2001-04-18,0612345650,"9 avenue de l'Amitié, Bamako",Actif,2026-05-30,11,3,Biotechnologie,BIOT,"Licence 3",2025-2026,36,Normale,2025-2026,16.00,2026-05-30,"Génétique mendélienne bien acquise",BIO102,"Génétique Générale",2.50,S2
ETU_51,Thomas,Thérèse,therese.thomas@etud.universite.edu,2000-05-28,0612345651,"21 rue du Lac, Annecy",Actif,2026-05-30,7,3,"Physique Fondamentale",PF,"Licence 3",2025-2026,25,Normale,2025-2026,17.25,2026-05-30,"Excellent en dynamique des fluides",PHYS101,"Mécanique Classique",3.00,S1
ETU_52,Bah,Abdoulaye,abdoulaye.bah@etud.universite.edu,2001-10-28,0612345652,"35 avenue Hadja Mariama, Labé",Actif,2026-05-30,8,3,"Électronique et Instrumentation",ELEC,"Licence 3",2025-2026,27,Normale,2025-2026,14.00,2026-05-30,"Cycles thermodynamiques bien traités",PHYS103,Thermodynamique,2.50,S1
ETU_53,Bertrand,Claude,claude.bertrand@etud.universite.edu,2000-08-25,0612345653,"7 rue de Rivoli, Paris",Actif,2026-05-30,13,2,"Management des Organisations",MGT,"Licence 2",2025-2026,40,Normale,2025-2026,13.75,2026-05-30,"École de management bien analysée",MGT101,"Introduction au Management",2.00,S1
ETU_54,Sangaré,Marthe,marthe.sangare@etud.universite.edu,2001-12-10,0612345654,"23 avenue Mobil Oil, Bouaké",Actif,2026-05-30,10,4,"Biochimie Structurale",BIOC,"Master 1",2025-2026,34,Normale,2025-2026,15.00,2026-05-30,"Enzymologie bien maîtrisée",CHIM104,"Biochimie Fondamentale",3.00,S2
ETU_55,Leclerc,Marcelle,marcelle.leclerc@etud.universite.edu,2000-07-03,0612345655,"15 rue Molière, Bordeaux",Actif,2026-05-30,11,1,Biotechnologie,BIOT,"Licence 1",2025-2026,35,Normale,2025-2026,16.50,2026-05-30,"Mitose/méiose parfaitement expliquée",BIO101,"Biologie Cellulaire et Moléculaire",3.00,S1
ETU_56,Diallo,"Mamadou Alpha",mamadoualpha.diallo@etud.universite.edu,2001-04-24,0612345656,"41 boulevard Alpha Yaya, Conakry",Actif,2026-05-30,1,4,"Génie Logiciel",GL,"Master 1",2025-2026,3,Normale,2025-2026,18.50,2026-05-30,"Modèle E/R impeccable",INFO103,"Bases de Données Relationnelles",2.50,S1
ETU_57,Beaumont,Cécile,cecile.beaumont@etud.universite.edu,2001-09-05,0612345657,"10 rue des Jardins, Toulouse",Actif,2026-05-30,20,5,"Réseaux et Télécommunications",RT,"Master 2",2025-2026,61,Normale,2025-2026,14.00,2026-05-30,"Modulation AM/FM correcte",TEL102,"Transmission des Données",2.50,S2
