"id_etudiant";"nom";"prenom";"date_naissance";"email";"telephone";"adresse";"statut";"date_inscription";"id_filiere";"id_niveau"
69;"Bourgeois";"Yves";"2002-04-15";"yves.bourgeois@etud.universite.edu";"0612345669";"8 rue Carnot, Grenoble";"Actif";"2026-05-30";5;3
70;"Doumbia";"Laurence";"2002-06-30";"laurence.doumbia@etud.universite.edu";"0612345670";"16 avenue de la Solidarité, Sikasso";"Actif";"2026-05-30";4;1
71;"Thibault";"Margaud";"2001-11-14";"margaud.thibault@etud.universite.edu";"0612345671";"12 rue Racine, Bordeaux";"Actif";"2026-05-30";18;2
72;"Kamara";"Benoît";"2001-11-01";"benoit.kamara@etud.universite.edu";"0612345672";"53 avenue des Mineurs, Conakry";"Actif";"2026-05-30";9;3
73;"De Sousa";"Victor";"2001-02-25";"victor.desousa@etud.universite.edu";"0612345673";"17 rue Brésil, Praia";"Actif";"2026-05-30";20;2
74;"Diagne";"Victoire";"2000-10-20";"victoire.diagne@etud.universite.edu";"0612345674";"40 avenue Libération, Saint-Louis";"Actif";"2026-05-30";11;2
75;"Marty";"Maurice";"2000-07-30";"maurice.marty@etud.universite.edu";"0612345675";"3 chemin des Cèdres, Montpellier";"Actif";"2026-05-30";9;5
76;"Samaké";"Virginie";"2001-10-03";"virginie.samake@etud.universite.edu";"0612345676";"28 rue de Ségou, Bamako";"Actif";"2026-05-30";16;3
77;"Marchand";"Christelle";"2001-05-10";"christelle.marchand@etud.universite.edu";"0612345677";"9 impasse des Acacias, Rennes";"Actif";"2026-05-30";2;1
78;"Soumaré";"Pierre";"2001-09-08";"pierre.soumare@etud.universite.edu";"0612345678";"67 rue Torokorobougou, Bamako";"Actif";"2026-05-30";14;3
79;"Séguin";"Océane";"2001-05-11";"oceane.seguin@etud.universite.edu";"0612345679";"14 avenue des Sports, Paris";"Actif";"2026-05-30";2;1
80;"Savané";"Inès";"2001-11-05";"ines.savane@etud.universite.edu";"0612345680";"36 avenue Almamy Bocar, Labé";"Actif";"2026-05-30";11;2
81;"Labé";"Alexandria";"2002-02-27";"alexandria.labe@etud.universite.edu";"0612345681";"5 rue des Collines, Grenoble";"Actif";"2026-05-30";9;2
82;"Tall";"Marie";"2004-01-30";"marie.tall@etud.universite.edu";"0612345682";"21 avenue Patrice Lumumba, Dakar";"Actif";"2026-05-30";15;5
83;"Grenier";"Pénélope";"2002-07-16";"penelope.grenier@etud.universite.edu";"0612345683";"7 rue des Peupliers, Lyon";"Actif";"2026-05-30";14;5
84;"Dupuis";"Adélaïde";"2003-06-22";"adelaide.dupuis@etud.universite.edu";"0612345684";"11 rue du Lac, Annecy";"Actif";"2026-05-30";1;1
85;"Müller";"Corinne";"2001-03-20";"corinne.muller@etud.universite.edu";"0612345685";"48 rue de Mulhouse, Strasbourg";"Actif";"2026-05-30";3;2
86;"Kouyaté";"Franck";"2002-10-13";"franck.kouyate@etud.universite.edu";"0612345686";"19 avenue de la Dignité, Conakry";"Actif";"2026-05-30";18;1
87;"Jacques";"Mathilde";"2001-01-05";"mathilde.jacques@etud.universite.edu";"0612345687";"38 rue des Lierres, Bordeaux";"Actif";"2026-05-30";12;5
88;"Chauvet";"Suzanne";"2002-07-26";"suzanne.chauvet@etud.universite.edu";"0612345688";"55 allée des Roses, Marseille";"Actif";"2026-05-30";18;2
89;"Fouché";"Jeanne";"2001-12-22";"jeanne.fouche@etud.universite.edu";"0612345689";"26 chemin des Vignes, Toulouse";"Actif";"2026-05-30";14;2
90;"Fernandez";"Roger";"2001-01-29";"roger.fernandez@etud.universite.edu";"0612345690";"4 rue Goya, Bordeaux";"Actif";"2026-05-30";2;3
91;"Barthélémy";"Hélène";"2003-10-17";"helene.barthelemy@etud.universite.edu";"0612345691";"30 avenue des Droits de l'Homme, Lyon";"Actif";"2026-05-30";12;1
92;"Costa";"Claude";"2000-12-09";"claude.costa@etud.universite.edu";"0612345692";"17 rue São Paulo, Praia";"Actif";"2026-05-30";12;2
93;"Lecomte";"Adrienne";"2001-10-21";"adrienne.lecomte@etud.universite.edu";"0612345693";"9 rue du Maréchal, Rennes";"Actif";"2026-05-30";8;1
94;"Godard";"Martine";"2000-02-09";"martine.godard@etud.universite.edu";"0612345694";"43 rue des Artistes, Paris";"Actif";"2026-05-30";12;5
95;"Clément";"Olivier";"2002-04-28";"olivier.clement@etud.universite.edu";"0612345695";"15 avenue des Bois, Grenoble";"Actif";"2026-05-30";14;5
96;"Blot";"Christelle";"2004-05-25";"christelle.blot@etud.universite.edu";"0612345696";"2 passage de la Fontaine, Strasbourg";"Actif";"2026-05-30";5;2
97;"Morin";"Théodore";"2001-03-06";"theodore.morin@etud.universite.edu";"0612345697";"38 rue des Marronniers, Nantes";"Actif";"2026-05-30";6;2
98;"Gnagna";"Margaud";"2003-04-21";"margaud.gnagna@etud.universite.edu";"0612345698";"44 rue Tambour, Ouagadougou";"Actif";"2026-05-30";14;1
99;"Legrand";"Éléonore";"2001-04-05";"eleonore.legrand@etud.universite.edu";"0612345699";"6 rue Voltaire, Montpellier";"Actif";"2026-05-30";6;3
100;"Benard";"Martine";"2001-02-16";"martine.benard@etud.universite.edu";"0612345700";"20 avenue des Fleurs, Nice";"Actif";"2026-05-30";14;2
101;"Dramé";"Souleymane";"2002-05-12";"souleymane.drame@etud.universite.edu";"0612345701";"31 rue Sékou Touré, Conakry";"Actif";"2026-05-30";3;1
102;"Martin";"Élodie";"2001-08-29";"elodie.martin@etud.universite.edu";"0612345702";"7 rue des Iris, Bordeaux";"Actif";"2026-05-30";1;3
103;"Balde";"Aïssatou";"2002-03-17";"aissatou.balde@etud.universite.edu";"0612345703";"62 quartier Almamya, Conakry";"Actif";"2026-05-30";5;2
104;"Rossignol";"Florian";"2001-11-11";"florian.rossignol@etud.universite.edu";"0612345704";"4 rue des Bleuets, Paris";"Actif";"2026-05-30";4;3
105;"Sissoko";"Rokiatou";"2000-07-07";"rokiatou.sissoko@etud.universite.edu";"0612345705";"25 avenue Nelson Mandela, Bamako";"Actif";"2026-05-30";13;4
106;"Lecourt";"Amandine";"2002-02-22";"amandine.lecourt@etud.universite.edu";"0612345706";"16 impasse des Hortensias, Nantes";"Actif";"2026-05-30";14;1
107;"Djibril";"Keïta";"2001-06-03";"djibril.keita@etud.universite.edu";"0612345707";"8 avenue Modibo Keïta, Bamako";"Actif";"2026-05-30";2;4
108;"Bouchard";"Pauline";"2003-09-15";"pauline.bouchard@etud.universite.edu";"0612345708";"19 rue des Tulipes, Grenoble";"Actif";"2026-05-30";18;1
109;"Coulibaly";"Sékou";"2001-04-30";"sekou.coulibaly@etud.universite.edu";"0612345709";"47 rue Bourem, Mopti";"Actif";"2026-05-30";9;4
110;"Giraud";"Mathieu";"2002-10-08";"mathieu.giraud@etud.universite.edu";"0612345710";"23 boulevard des Capucines, Lyon";"Actif";"2026-05-30";20;3
111;"Ballo";"Kadiatou";"2001-01-25";"kadiatou.ballo@etud.universite.edu";"0612345711";"15 rue du Gouverneur, Kankan";"Actif";"2026-05-30";6;5
112;"Dupré";"Margaux";"2002-07-14";"margaux.dupre@etud.universite.edu";"0612345712";"5 allée des Pinsons, Toulouse";"Actif";"2026-05-30";17;2
113;"Diallo";"Boubacar";"2000-12-20";"boubacar.diallo@etud.universite.edu";"0612345713";"29 avenue de la Paix, Labé";"Actif";"2026-05-30";11;4
114;"Vidal";"Chloé";"2003-03-11";"chloe.vidal@etud.universite.edu";"0612345714";"11 rue des Sorbiers, Montpellier";"Actif";"2026-05-30";3;1
115;"Ouédraogo";"Aristide";"2001-08-17";"aristide.ouedraogo@etud.universite.edu";"0612345715";"36 secteur 12, Ouagadougou";"Actif";"2026-05-30";19;2
116;"Renault";"Céline";"2002-05-05";"celine.renault@etud.universite.edu";"0612345716";"3 rue du Soleil, Nice";"Actif";"2026-05-30";10;3
117;"Bah";"Mariama";"2001-02-18";"mariama.bah@etud.universite.edu";"0612345717";"45 quartier Ratoma, Conakry";"Actif";"2026-05-30";12;4
118;"Chevalier";"Benoît";"2003-07-22";"benoit.chevalier@etud.universite.edu";"0612345718";"13 rue Passy, Paris";"Actif";"2026-05-30";8;2
119;"Kourouma";"Aboubacar";"2000-11-09";"aboubacar.kourouma@etud.universite.edu";"0612345719";"56 avenue de la Guinée, Nzérékoré";"Actif";"2026-05-30";16;5
120;"Poirier";"Lucie";"2002-04-03";"lucie.poirier@etud.universite.edu";"0612345720";"8 rue de la Mairie, Rennes";"Actif";"2026-05-30";15;2
